,dist,area,dist-area-no-cos
0,16821.0,2832.269086419919,2846.2726437962006
1,1877.0,317.27310222909125,317.6061918081843
2,477.0,80.88139453246701,80.71292141316138
3,252.0,42.53438480135302,42.640788671104126
4,1142.0,192.53496904974384,193.23722485079728
5,0.0,0.0,0.0
6,657.0,111.28005723094755,111.17062760680719
7,180.0,30.320771263253235,30.457706193645805
8,305.0,51.26449037066003,51.60889105034428
9,2505.0,422.0939067078983,423.86974452823745
10,703.0,118.35563577546256,118.95426363407223
11,232.0,39.29051577647745,39.256599094032374
12,399.0,67.8181162350291,67.51458206258154
13,3382.0,568.0654765544515,572.266457482834
14,2066.0,347.9009990541223,349.5867833115124
15,482.0,81.77194190225151,81.55896880742932
16,3885.0,657.0123688297718,657.3788253461886
17,3096.0,523.0577759998538,523.8725465307078
18,5941.0,1000.5648063716955,1005.2735138691652
19,2749.0,463.20002874225827,465.1568573685129
20,9014.0,1519.0452982651518,1525.2542423862405
21,1414.0,237.06229080141037,239.26220309897317
22,2431.0,408.2927067745,411.34824309307197
23,10072.0,1697.2969739633616,1704.2778710133364
24,4595.0,774.650965711908,777.5175553322359
25,1683.0,284.08347579374663,284.7795529105883
26,4408.0,741.9286640024302,745.8753827866151
27,6383.0,1075.3159256853173,1080.064103522451
28,29330.0,4945.249584310473,4962.914014775731
29,10063.0,1695.3235663326911,1702.754985703654
30,21330.0,3593.2794823159406,3609.238183947028
31,12292.0,2070.169794625566,2079.9229140683015
32,28356.0,4781.10565235471,4798.103982372336
33,477428.0,80503.58900913922,80785.34307011071
34,270154.0,45516.83806512303,45712.61755021216
35,174681.0,29440.768874797734,29557.68097562357
36,174377.0,29403.94492859838,29506.24129405208
37,218757.0,36825.28959405836,37015.75796557431
38,514413.0,86678.34634737541,87043.55564551067
39,99706.0,16805.862894566257,16871.200298575826
40,248447.0,41934.005080243696,42039.58739273733
41,65022.0,10977.40209370613,11002.338734017987
42,0.0,0.0,0.0
