,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,0,0.0,0.0
14,0,0,0.0,0.0
15,0,0,0.0,0.0
16,0,2,220.5,0.0
17,0,2,220.5,0.0
18,6,12,1323.0,661.5
19,0,34,3748.5,0.0
20,20,126,13891.5,2205.0
21,41,598,65929.5,4520.25
22,205,2778,306274.5,22601.25
23,877,12735,1404033.75,96689.25
24,4617,58830,6486007.5,509024.25
25,18570,203532,22439403.0,2047342.5
26,33938,354142,39044155.5,3741664.5
27,16715,177626,19583266.5,1842828.75
28,5597,59803,6593280.75,617069.25
29,1535,16397,1807769.25,169233.75
30,335,4137,456104.25,36933.75
31,73,987,108816.75,8048.25
32,13,212,23373.0,1433.25
33,5,84,9261.0,551.25
34,0,9,992.25,0.0
35,0,4,441.0,0.0
36,0,0,0.0,0.0
37,0,0,0.0,0.0
38,0,0,0.0,0.0
39,0,0,0.0,0.0
40,0,0,0.0,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
