,pr,ft,ft-area,pr-area
0,94,6621,729965.25,10363.5
1,36,4756,524349.0,3969.0
2,36,3848,424242.0,3969.0
3,30,3559,392379.75,3307.5
4,28,4261,469775.25,3087.0
5,23,3334,367573.5,2535.75
6,31,3085,340121.25,3417.75
7,38,3006,331411.5,4189.5
8,25,1961,216200.25,2756.25
9,50,3033,334388.25,5512.5
10,30,2123,234060.75,3307.5
11,24,1784,196686.0,2646.0
12,25,1825,201206.25,2756.25
13,17,2222,244975.5,1874.25
14,31,1510,166477.5,3417.75
15,41,1600,176400.0,4520.25
16,57,1805,199001.25,6284.25
17,68,1356,149499.0,7497.0
18,80,2738,301864.5,8820.0
19,37,2001,220610.25,4079.25
20,61,1896,209034.0,6725.25
21,56,2135,235383.75,6174.0
22,108,3109,342767.25,11907.0
23,139,2833,312338.25,15324.75
24,146,3191,351807.75,16096.5
25,146,4313,475508.25,16096.5
26,137,3994,440338.5,15104.25
27,184,6503,716955.75,20286.0
28,147,5716,630189.0,16206.75
29,142,4966,547501.5,15655.5
30,160,4893,539453.25,17640.0
31,112,5719,630519.75,12348.0
32,91,4782,527215.5,10032.75
33,121,4635,511008.75,13340.25
34,88,5211,574512.75,9702.0
35,98,4774,526333.5,10804.5
