,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,6,661.5,0.0
3,0,0,0.0,0.0
4,0,4,441.0,0.0
5,0,6,661.5,0.0
6,4,12,1323.0,441.0
7,0,6,661.5,0.0
8,0,21,2315.25,0.0
9,0,68,7497.0,0.0
10,6,100,11025.0,661.5
11,16,232,25578.0,1764.0
12,6,169,18632.25,661.5
13,33,635,70008.75,3638.25
14,44,912,100548.0,4851.0
15,52,1419,156444.75,5733.0
16,171,3318,365809.5,18852.75
17,328,5216,575064.0,36162.0
18,701,14610,1610752.5,77285.25
19,1133,22491,2479632.75,124913.25
20,1869,40267,4439436.75,206057.25
21,5661,106875,11782968.75,624125.25
22,7725,150363,16577520.75,851681.25
23,19013,357868,39454947.0,2096183.25
24,25358,443334,48877573.5,2795719.5
25,36418,595435,65646708.75,4015084.5
26,53594,809435,89240208.75,5908738.5
27,30344,446346,49209646.5,3345426.0
28,24635,366645,40422611.25,2716008.75
29,9828,155154,17105728.5,1083537.0
30,7729,113152,12475008.0,852122.25
31,2878,42043,4635240.75,317299.5
32,1712,23716,2614689.0,188748.0
33,961,15392,1696968.0,105950.25
34,370,5690,627322.5,40792.5
35,302,3852,424683.0,33295.5
36,88,1687,185991.75,9702.0
37,63,956,105399.0,6945.75
38,40,566,62401.5,4410.0
39,2,248,27342.0,220.5
40,21,268,29547.0,2315.25
41,0,78,8599.5,0.0
42,4,52,5733.0,441.0
43,6,23,2535.75,661.5
44,0,10,1102.5,0.0
45,6,9,992.25,661.5
46,0,6,661.5,0.0
47,0,4,441.0,0.0
48,0,0,0.0,0.0
49,0,7,771.75,0.0
50,0,0,0.0,0.0
