,dist,area,dist-area-no-cos
0,43.0,4740.75,4740.75
1,12.0,1323.0,1323.0
2,6.0,661.5,661.5
3,0.0,0.0,0.0
4,11.0,1212.75,1212.75
5,0.0,0.0,0.0
6,4.0,441.0,441.0
7,0.0,0.0,0.0
8,2.0,220.5,220.5
9,8.0,882.0,882.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,15.0,1653.75,1653.75
14,5.0,551.25,551.25
15,14.0,1543.5,1543.5
16,17.0,1874.25,1874.25
17,0.0,0.0,0.0
18,27.0,2976.75,2976.75
19,57.0,6284.25,6284.25
20,100.0,11025.0,11025.0
21,16.0,1764.0,1764.0
22,10.0,1102.5,1102.5
23,103.0,11355.75,11355.75
24,21.0,2315.25,2315.25
25,23.0,2535.75,2535.75
26,82.0,9040.5,9040.5
27,88.0,9702.0,9702.0
28,389.0,42887.25,42887.25
29,204.0,22491.0,22491.0
30,263.0,28995.75,28995.75
31,92.0,10143.0,10143.0
32,578.0,63724.5,63724.5
33,14318.0,1578559.5,1578559.5
34,9176.0,1011654.0,1011654.0
35,6173.0,680573.25,680573.25
36,4247.0,468231.75,468231.75
37,10441.0,1151120.25,1151120.25
38,18370.0,2025292.5,2025292.5
39,5071.0,559077.75,559077.75
40,10652.0,1174383.0,1174383.0
41,663.0,73095.75,73095.75
42,0.0,0.0,0.0
