,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,1888.0,208152.0,208152.0
2,1679.0,185109.75,185109.75
3,1335.0,147183.75,147183.75
4,1165.0,128441.25,128441.25
5,1089.0,120062.25,120062.25
6,1172.0,129213.0,129213.0
7,941.0,103745.25,103745.25
8,1008.0,111132.0,111132.0
9,1221.0,134615.25,134615.25
10,1519.0,167469.75,167469.75
11,1508.0,166257.0,166257.0
12,1491.0,164382.75,164382.75
13,1737.0,191504.25,191504.25
14,1964.0,216531.0,216531.0
15,2313.0,255008.25,255008.25
16,2932.0,323253.0,323253.0
17,3869.0,426557.25,426557.25
18,4763.0,525120.75,525120.75
19,6288.0,693252.0,693252.0
20,7377.0,813314.25,813314.25
21,6587.0,726216.75,726216.75
22,6308.0,695457.0,695457.0
23,6470.0,713317.5,713317.5
24,6250.0,689062.5,689062.5
25,5804.0,639891.0,639891.0
26,5441.0,599870.25,599870.25
27,5079.0,559959.75,559959.75
28,6024.0,664146.0,664146.0
29,4619.0,509244.75,509244.75
30,4667.0,514536.75,514536.75
31,3874.0,427108.5,427108.5
32,3427.0,377826.75,377826.75
33,3254.0,358753.5,358753.5
34,2882.0,317740.5,317740.5
35,2500.0,275625.0,275625.0
36,1826.0,201316.5,201316.5
