,pr,ft,ft-area,pr-area
0,505,18130,1998832.5,55676.25
1,1257,44828,4942287.0,138584.25
2,1874,64015,7057653.75,206608.5
3,2592,84856,9355374.0,285768.0
4,3086,96996,10693809.0,340231.5
5,3393,107096,11807334.0,374078.25
6,3092,100079,11033709.75,340893.0
7,3088,95750,10556437.5,340452.0
8,2735,87374,9632983.5,301533.75
9,2315,75553,8329718.25,255228.75
10,1919,63386,6988306.5,211569.75
11,1542,50011,5513712.75,170005.5
12,1160,37570,4142092.5,127890.0
13,842,28612,3154473.0,92830.5
14,626,19766,2179201.5,69016.5
15,427,14107,1555296.75,47076.75
16,240,9572,1055313.0,26460.0
17,163,5998,661279.5,17970.75
18,61,3679,405609.75,6725.25
19,45,2014,222043.5,4961.25
20,15,1044,115101.0,1653.75
21,11,493,54353.25,1212.75
22,2,259,28554.75,220.5
23,9,85,9371.25,992.25
24,0,69,7607.25,0.0
25,0,7,771.75,0.0
26,0,0,0.0,0.0
27,0,0,0.0,0.0
28,0,0,0.0,0.0
29,0,0,0.0,0.0
30,0,0,0.0,0.0
31,0,0,0.0,0.0
32,0,0,0.0,0.0
33,0,0,0.0,0.0
