,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,1826.0,201316.5,201316.5
2,1350.0,148837.5,148837.5
3,1202.0,132520.5,132520.5
4,1050.0,115762.5,115762.5
5,1229.0,135497.25,135497.25
6,963.0,106170.75,106170.75
7,1054.0,116203.5,116203.5
8,1218.0,134284.5,134284.5
9,1092.0,120393.0,120393.0
10,1510.0,166477.5,166477.5
11,1796.0,198009.0,198009.0
12,2063.0,227445.75,227445.75
13,2526.0,278491.5,278491.5
14,2842.0,313330.5,313330.5
15,3185.0,351146.25,351146.25
16,3883.0,428100.75,428100.75
17,4392.0,484218.0,484218.0
18,5057.0,557534.25,557534.25
19,6036.0,665469.0,665469.0
20,5726.0,631291.5,631291.5
21,5464.0,602406.0,602406.0
22,4967.0,547611.75,547611.75
23,4986.0,549706.5,549706.5
24,4785.0,527546.25,527546.25
25,5286.0,582781.5,582781.5
26,4725.0,520931.25,520931.25
27,4272.0,470988.0,470988.0
28,4743.0,522915.75,522915.75
29,3842.0,423580.5,423580.5
30,3431.0,378267.75,378267.75
31,3112.0,343098.0,343098.0
32,2720.0,299880.0,299880.0
33,2348.0,258867.0,258867.0
34,2403.0,264930.75,264930.75
35,2143.0,236265.75,236265.75
36,1795.0,197898.75,197898.75
