,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,171.0,18852.75,18852.75
2,103.0,11355.75,11355.75
3,118.0,13009.5,13009.5
4,160.0,17640.0,17640.0
5,113.0,12458.25,12458.25
6,98.0,10804.5,10804.5
7,94.0,10363.5,10363.5
8,93.0,10253.25,10253.25
9,136.0,14994.0,14994.0
10,225.0,24806.25,24806.25
11,196.0,21609.0,21609.0
12,191.0,21057.75,21057.75
13,226.0,24916.5,24916.5
14,299.0,32964.75,32964.75
15,284.0,31311.0,31311.0
16,386.0,42556.5,42556.5
17,434.0,47848.5,47848.5
18,411.0,45312.75,45312.75
19,510.0,56227.5,56227.5
20,461.0,50825.25,50825.25
21,491.0,54132.75,54132.75
22,411.0,45312.75,45312.75
23,397.0,43769.25,43769.25
24,431.0,47517.75,47517.75
25,456.0,50274.0,50274.0
26,520.0,57330.0,57330.0
27,418.0,46084.5,46084.5
28,460.0,50715.0,50715.0
29,383.0,42225.75,42225.75
30,382.0,42115.5,42115.5
31,368.0,40572.0,40572.0
32,316.0,34839.0,34839.0
33,265.0,29216.25,29216.25
34,205.0,22601.25,22601.25
35,179.0,19734.75,19734.75
36,157.0,17309.25,17309.25
