,pr,ft,ft-area,pr-area
0,84,396,43659.0,9261.0
1,29,3563,392820.75,3197.25
2,22,5024,553896.0,2425.5
3,43,5781,637355.25,4740.75
4,6,997,109919.25,661.5
5,18,5277,581789.25,1984.5
6,31,1208,133182.0,3417.75
7,2,2368,261072.0,220.5
8,121,15966,1760251.5,13340.25
9,14,10922,1204150.5,1543.5
10,12,998,110029.5,1323.0
11,2,828,91287.0,220.5
12,119,16625,1832906.25,13119.75
13,102,12741,1404695.25,11245.5
14,141,7884,869211.0,15545.25
15,127,11389,1255637.25,14001.75
16,172,10532,1161153.0,18963.0
17,256,20057,2211284.25,28224.0
18,205,10761,1186400.25,22601.25
19,452,25308,2790207.0,49833.0
20,162,5522,608800.5,17860.5
21,152,9136,1007244.0,16758.0
22,696,29531,3255792.75,76734.0
23,304,14846,1636771.5,33516.0
24,133,7889,869762.25,14663.25
25,378,22788,2512377.0,41674.5
26,527,23528,2593962.0,58101.75
27,2290,80138,8835214.5,252472.5
28,736,28238,3113239.5,81144.0
29,1634,43101,4751885.25,180148.5
30,825,20470,2256817.5,90956.25
31,2390,61734,6806173.5,263497.5
32,44394,622276,68605929.0,4894438.5
33,24934,392804,43306641.0,2748973.5
34,18308,220383,24297225.75,2018457.0
35,14786,258249,28471952.25,1630156.5
36,23960,313673,34582448.25,2641590.0
37,48779,640197,70581719.25,5377884.75
38,11537,208278,22962649.5,1271954.25
39,26657,321057,35396534.25,2938934.25
40,5118,236243,26045790.75,564259.5
41,0,0,0.0,0.0
