,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,6670.0,1115.7841973013844,1128.6272239534308
6,57114.0,9552.559791301328,9664.230175243814
7,160141.0,26781.42952871415,27097.375153092406
8,272811.0,45623.13979086113,46162.20713552614
9,263451.0,44058.46915301947,44578.40641345656
10,379158.0,63403.66457524019,64157.12758316864
11,538792.0,90091.33084515957,91168.71353048229
12,561819.0,93944.23318156913,95065.10020004385
13,660163.0,110399.33688950297,111705.8371884211
14,690341.0,115459.2263124746,116812.24084126466
15,688548.0,115184.14321089379,116508.84824568017
16,624835.0,104521.22613382802,105728.00471948154
17,615321.0,102955.62933150525,104118.1457376685
18,569470.0,95295.48952149201,96359.72192275265
19,595921.0,99745.478206873,100835.4818479089
20,532066.0,89048.43973387459,90030.61057571306
21,348108.0,58268.89471737675,58903.173264764744
22,329017.0,55071.99872291753,55672.7951039709
23,320195.0,53602.78474794442,54180.029081524546
24,240294.0,40217.599849982405,40660.02251164403
25,215796.0,36126.20177133529,36514.728698688836
26,136369.0,22837.96572020193,23074.927421784916
27,150960.0,25279.099319494555,25543.862927737617
28,135874.0,22763.58947920522,22991.16872975239
29,143311.0,23968.682964615793,24249.579623986523
30,105465.0,17640.958663147372,17845.67768729364
31,93547.0,15648.30805845603,15829.03911831658
32,68822.0,11520.444312041926,11645.33475366162
33,81999.0,13707.428238055774,13875.008056515348
34,130502.0,21855.594971846425,22082.175409350915
35,76238.0,12762.137652493358,12900.192248839827
36,36526.0,6125.556341719555,6180.545424606148
37,19743.0,3295.966012417566,3340.7027410063843
38,851.0,142.06893970355816,143.99726650440323
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
