,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,1329.0,222.41277636732315,224.8793973964182
2,4493.0,756.3419106574271,760.25818848917
3,7361.0,1242.4613422784728,1245.55097384126
4,7794.0,1316.5565826978384,1318.8186781848633
5,11359.0,1918.5228083772379,1922.050470297904
6,15488.0,2614.711773578624,2620.716408484368
7,20495.0,3456.6133542517728,3467.948269104282
8,29693.0,5009.323656201123,5024.3370555995825
9,34124.0,5759.946974241781,5774.104256399831
10,38000.0,6414.059035695905,6429.960196436336
11,43875.0,7404.323815855937,7424.0658847011655
12,49608.0,8373.233323871673,8394.143826968784
13,55349.0,9344.559830218343,9365.575445067232
14,60325.0,10184.056202034513,10207.561811842685
15,62571.0,10564.099014428497,10587.606301347843
16,68186.0,11511.932518753092,11537.717525110738
17,69755.0,11777.704458680586,11803.207197432017
18,73162.0,12353.375848028973,12379.70389188619
19,76627.0,12940.607597299275,12966.014736113873
20,77102.0,13021.958786237972,13046.389238569327
21,78496.0,13258.353050041029,13282.26725209123
22,78583.0,13275.817952875825,13296.98847675149
23,74915.0,12650.131010232712,12676.328108316531
24,75637.0,12769.86814453401,12798.497352048822
25,68065.0,11481.829404455004,11517.243178169454
26,68505.0,11544.623452977601,11591.695348865032
27,60398.0,10171.40221565846,10219.914103798996
28,58065.0,9772.281547508535,9825.148389633576
29,59100.0,9937.353862103348,10000.28020024704
30,56094.0,9426.619967610859,9491.636506813154
31,57817.0,9710.564850174535,9783.184438877886
32,49081.0,8237.294434984033,8304.970431612943
33,43948.0,7372.213805267117,7436.4181766574775
34,41131.0,6897.881432017055,6959.755074726921
35,39878.0,6685.346072186643,6747.735597723375
36,33577.0,5628.334623258278,5681.546671466918
37,30687.0,5143.989597564278,5192.531277580049
38,27401.0,4591.398156272966,4636.50893006716
39,20649.0,3460.718908954026,3494.006528847735
40,14985.0,2509.844562535445,2535.604040621013
41,11936.0,1998.7760385903948,2019.684339596424
42,6018.0,1007.2766728360715,1018.3026437408914
43,3687.0,617.2595788444696,623.8753485331782
44,1755.0,293.90771687410574,296.9626353880466
45,1332.0,223.09589698025758,225.38702583297896
46,273.0,45.656546308286686,46.19418772702947
47,86.0,14.394844004434876,14.552015181408551
48,60.0,10.03585337038234,10.152568731215268
49,100.0,16.848893398801714,16.920947885358782
50,84.0,14.125690385478613,14.213596223701376
51,73.0,12.294114225391482,12.35229195631191
52,111.0,18.693593249368252,18.782252152748246
53,25.0,4.208721286906481,4.2302369713396955
54,2.0,0.3370295168849293,0.3384189577071756
55,87.0,14.650581068228496,14.72122466026214
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
