,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,4320,730.9849486474993,0.0
9,0,64,10.82940664662962,0.0
10,0,6115,1034.7159631896895,0.0
11,810,11902,2013.9312173154021,137.05967787140614
12,757,19660,3326.6583542615363,128.09157549216596
13,2853,38556,6524.040666678931,482.754643169286
14,5578,103374,17491.860667010787,943.8504730453128
15,6312,150196,25414.586885893474,1068.0502305238463
16,5628,406192,68731.53663449654,952.3109469879922
17,14064,579575,98069.58370656816,2379.7621105968587
18,58077,1692301,286353.3702734055,9827.17890337982
19,50620,2628844,444825.3232273812,8565.383819568615
20,155926,5054462,855262.8809052631,26384.157199724534
21,474755,14274459,2415373.7683069063,80333.04613313508
22,759354,22247119,3764423.4119837517,128489.89460538732
23,2105545,58568329,9910316.427415473,356278.17215277755
24,2928492,81607693,13808795.202973584,495528.6051469011
25,4794255,127870558,21636910.479897473,811233.3900412077
26,8996928,225051823,38080901.68487989,1522365.4981632521
27,6282632,150848970,25525075.5993005,1063080.8865488742
28,5358085,132008524,22337093.55027134,906638.7705032261
29,2129437,55149052,9331742.348189415,360320.9250215475
30,1487276,38156406,6456425.574185911,251661.19687144866
31,551088,14037315,2375246.755653651,93249.313282466
32,326957,7580151,1282633.4003415024,55324.22357753251
33,142240,4543031,768723.9079256939,24068.35627213433
34,68311,1650364,279257.2323587226,11558.868709967437
35,52480,1040945,176137.76096524796,8880.113450236287
36,12362,387980,65649.893605615,2091.7675775880525
37,8545,183978,31130.821500525377,1445.8949968039078
38,6642,125893,21302.288921314732,1123.8893585455303
39,864,45292,7663.835716236699,146.19698972949988
40,126,27939,4727.54362969039,21.320394335552063
41,0,5935,1004.2582569960437,0.0
42,0,5682,961.4482588460859,0.0
43,0,2772,469.0486753821454,0.0
44,0,5876,994.274897743682,0.0
45,0,0,0.0,0.0
46,0,560,94.75730815800917,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,564,95.43414607342352,0.0
50,0,0,0.0,0.0
